Gameno,weekid,gamedatetime,awayid,homeid,gametype
1,511,'2025-9-5 20:20:00',5,14,2
2,511,'2025-9-6 20:15:00',21,20,2
3,511,'2025-9-8 13:00:00',31,3,2
4,511,'2025-9-8 13:00:00',27,26,2
5,511,'2025-9-8 13:00:00',12,9,2
6,511,'2025-9-8 13:00:00',11,4,2
7,511,'2025-9-8 13:00:00',22,17,2
8,511,'2025-9-8 13:00:00',1,7,2
9,511,'2025-9-8 13:00:00',6,25,2
10,511,'2025-9-8 13:00:00',10,24,2
11,511,'2025-9-8 16:05:00',13,32,2
12,511,'2025-9-8 16:05:00',36,34,2
13,511,'2025-9-8 16:25:00',18,8,2
14,511,'2025-9-8 16:25:00',39,28,2
15,511,'2025-9-9 20:20:00',35,23,2
16,511,'2025-9-9 20:20:00',2,30,2
17,512,'2025-9-12 20:15:00',3,4,2
18,512,'2025-9-15 13:00:00',8,11,2
19,512,'2025-9-15 13:00:00',9,21,2
20,512,'2025-9-15 13:00:00',36,5,2
21,512,'2025-9-15 13:00:00',34,27,2
22,512,'2025-9-15 13:00:00',26,18,2
23,512,'2025-9-15 13:00:00',17,39,2
24,512,'2025-9-15 13:00:00',2,10,2
25,512,'2025-9-15 13:00:00',30,22,2
26,512,'2025-9-15 13:00:00',32,1,2
27,512,'2025-9-15 13:00:00',28,23,2
28,512,'2025-9-15 16:05:00',35,31,2
29,512,'2025-9-15 16:25:00',7,14,2
30,512,'2025-9-15 16:25:00',6,13,2
31,512,'2025-9-15 20:20:00',24,12,2
32,512,'2025-9-16 20:15:00',25,20,2
33,513,'2025-9-19 20:15:00',1,2,2
34,513,'2025-9-22 13:00:00',24,9,2
35,513,'2025-9-22 13:00:00',13,28,2
36,513,'2025-9-22 13:00:00',21,10,2
37,513,'2025-9-22 13:00:00',12,22,2
38,513,'2025-9-22 13:00:00',34,6,2
39,513,'2025-9-22 13:00:00',17,8,2
40,513,'2025-9-22 13:00:00',20,26,2
41,513,'2025-9-22 16:05:00',27,36,2
42,513,'2025-9-22 16:05:00',4,32,2
43,513,'2025-9-22 16:25:00',5,18,2
44,513,'2025-9-22 16:25:00',23,31,2
45,513,'2025-9-22 16:25:00',30,35,2
46,513,'2025-9-22 20:20:00',14,25,2
47,513,'2025-9-22 19:30:00',11,3,2
48,513,'2025-9-23 20:15:00',39,7,2
49,514,'2025-9-26 20:15:00',18,17,2
50,514,'2025-9-29 13:00:00',7,27,2
51,514,'2025-9-29 13:00:00',13,2,2
52,514,'2025-9-29 13:00:00',11,12,2
53,514,'2025-9-29 13:00:00',35,24,2
54,514,'2025-9-29 13:00:00',22,21,2
55,514,'2025-9-29 13:00:00',26,25,2
56,514,'2025-9-29 13:00:00',20,28,2
57,514,'2025-9-29 13:00:00',6,9,2
58,514,'2025-9-29 16:05:00',1,30,2
59,514,'2025-9-29 16:05:00',39,31,2
60,514,'2025-9-29 16:25:00',8,36,2
61,514,'2025-9-29 16:25:00',14,34,2
62,514,'2025-9-29 20:20:00',3,5,2
63,514,'2025-9-29 19:30:00',10,4,2
64,514,'2025-9-30 20:15:00',32,23,2
65,515,'2025-10-3 20:15:00',28,25,2
66,515,'2025-10-6 9:30:00',2,22,2
67,515,'2025-10-6 13:00:00',5,7,2
68,515,'2025-10-6 13:00:00',3,12,2
69,515,'2025-10-6 13:00:00',27,24,2
70,515,'2025-10-6 13:00:00',8,39,2
71,515,'2025-10-6 13:00:00',9,11,2
72,515,'2025-10-6 13:00:00',36,13,2
73,515,'2025-10-6 13:00:00',4,1,2
74,515,'2025-10-6 16:05:00',31,30,2
75,515,'2025-10-6 16:25:00',21,35,2
76,515,'2025-10-6 16:25:00',17,32,2
77,515,'2025-10-6 20:20:00',18,6,2
78,515,'2025-10-7 20:15:00',26,14,2
79,516,'2025-10-10 20:15:00',30,32,2
80,516,'2025-10-13 9:30:00',11,24,2
81,516,'2025-10-13 13:00:00',31,21,2
82,516,'2025-10-13 13:00:00',8,20,2
83,516,'2025-10-13 13:00:00',12,1,2
84,516,'2025-10-13 13:00:00',9,10,2
85,516,'2025-10-13 13:00:00',28,26,2
86,516,'2025-10-13 13:00:00',39,5,2
87,516,'2025-10-13 16:05:00',34,13,2
88,516,'2025-10-13 16:05:00',6,36,2
89,516,'2025-10-13 16:25:00',25,27,2
90,516,'2025-10-13 16:25:00',23,18,2
91,516,'2025-10-13 20:20:00',7,17,2
92,516,'2025-10-14 20:15:00',3,2,2
93,517,'2025-10-17 20:15:00',13,26,2
94,517,'2025-10-20 9:30:00',1,11,2
95,517,'2025-10-20 13:00:00',7,8,2
96,517,'2025-10-20 13:00:00',23,22,2
97,517,'2025-10-20 13:00:00',12,21,2
98,517,'2025-10-20 13:00:00',4,9,2
99,517,'2025-10-20 13:00:00',20,17,2
100,517,'2025-10-20 13:00:00',32,25,2
101,517,'2025-10-20 13:00:00',10,3,2
102,517,'2025-10-20 16:05:00',27,39,2
103,517,'2025-10-20 16:05:00',36,35,2
104,517,'2025-10-20 16:25:00',14,30,2
105,517,'2025-10-20 20:20:00',2,6,2
106,517,'2025-10-21 20:15:00',5,28,2
107,518,'2025-10-21 21:00:00',34,31,2
108,518,'2025-10-24 20:15:00',22,35,2
109,518,'2025-10-27 13:00:00',31,4,2
110,518,'2025-10-27 13:00:00',25,28,2
111,518,'2025-10-27 13:00:00',5,8,2
112,518,'2025-10-27 13:00:00',21,11,2
113,518,'2025-10-27 13:00:00',9,12,2
114,518,'2025-10-27 13:00:00',2,1,2
115,518,'2025-10-27 13:00:00',20,7,2
116,518,'2025-10-27 13:00:00',10,23,2
117,518,'2025-10-27 16:05:00',3,32,2
118,518,'2025-10-27 16:05:00',26,34,2
119,518,'2025-10-27 16:25:00',27,13,2
120,518,'2025-10-27 16:25:00',24,39,2
121,518,'2025-10-27 16:25:00',14,36,2
122,518,'2025-10-27 20:20:00',18,30,2
123,518,'2025-10-27 20:20:00',17,6,2
124,519,'2025-10-31 20:15:00',12,2,2
125,519,'2025-11-3 13:00:00',18,25,2
126,519,'2025-11-3 13:00:00',13,5,2
127,519,'2025-11-3 13:00:00',9,22,2
128,519,'2025-11-3 13:00:00',36,7,2
129,519,'2025-11-3 13:00:00',34,8,2
130,519,'2025-11-3 13:00:00',4,3,2
131,519,'2025-11-3 13:00:00',1,10,2
132,519,'2025-11-3 13:00:00',26,27,2
133,519,'2025-11-3 13:00:00',39,17,2
134,519,'2025-11-3 16:05:00',24,31,2
135,519,'2025-11-3 16:25:00',23,21,2
136,519,'2025-11-3 16:25:00',35,32,2
137,519,'2025-11-3 20:20:00',11,20,2
138,519,'2025-11-4 20:15:00',28,14,2
139,520,'2025-11-7 20:15:00',7,5,2
140,520,'2025-11-10 9:30:00',17,27,2
141,520,'2025-11-10 13:00:00',25,26,2
142,520,'2025-11-10 13:00:00',3,9,2
143,520,'2025-11-10 13:00:00',13,14,2
144,520,'2025-11-10 13:00:00',22,11,2
145,520,'2025-11-10 13:00:00',1,24,2
146,520,'2025-11-10 13:00:00',6,39,2
147,520,'2025-11-10 13:00:00',30,28,2
148,520,'2025-11-10 16:05:00',10,34,2
149,520,'2025-11-10 16:25:00',2,31,2
150,520,'2025-11-10 16:25:00',20,18,2
151,520,'2025-11-10 20:20:00',23,12,2
152,520,'2025-11-11 20:15:00',4,35,
153,521,'2025-11-14 20:15:00',39,20,2
154,521,'2025-11-17 13:00:00',5,6,2
155,521,'2025-11-17 13:00:00',8,26,2
156,521,'2025-11-17 13:00:00',21,24,2
157,521,'2025-11-17 13:00:00',11,23,2
158,521,'2025-11-17 13:00:00',36,4,2
159,521,'2025-11-17 13:00:00',35,1,2
160,521,'2025-11-17 13:00:00',22,10,2
161,521,'2025-11-17 16:05:00',25,13,2
162,521,'2025-11-17 16:05:00',32,30,2
163,521,'2025-11-17 16:25:00',7,34,2
164,521,'2025-11-17 16:25:00',14,3,2
165,521,'2025-11-17 20:20:00',9,2,2
166,521,'2025-11-18 20:15:00',12,18,2
167,522,'2025-11-21 20:15:00',6,8,2
168,522,'2025-11-24 13:00:00',18,39,2
169,522,'2025-11-24 13:00:00',23,9,2
170,522,'2025-11-24 13:00:00',14,27,2
171,522,'2025-11-24 13:00:00',22,24,2
172,522,'2025-11-24 13:00:00',1,4,2
173,522,'2025-11-24 13:00:00',28,17,2
174,522,'2025-11-24 13:00:00',10,12,2
175,522,'2025-11-24 16:05:00',13,36,2
176,522,'2025-11-24 16:25:00',31,32,2
177,522,'2025-11-24 16:25:00',30,21,2
178,522,'2025-11-24 20:20:00',20,35,2
179,522,'2025-11-25 20:15:00',5,34,2
180,523,'2025-11-28 12:30:00',24,23,2
181,523,'2025-11-28 16:30:00',17,18,2
182,523,'2025-11-28 20:20:00',4,21,2
183,523,'2025-11-29 15:00:00',36,14,2
184,523,'2025-12-1 13:00:00',31,22,2
185,523,'2025-12-1 13:00:00',12,11,2
186,523,'2025-12-1 13:00:00',9,1,2
187,523,'2025-12-1 13:00:00',34,25,2
188,523,'2025-12-1 13:00:00',6,7,2
189,523,'2025-12-1 13:00:00',32,2,2
190,523,'2025-12-1 13:00:00',10,39,2
191,523,'2025-12-1 16:05:00',35,26,2
192,523,'2025-12-1 16:05:00',28,27,2
193,523,'2025-12-1 16:25:00',20,5,2
194,523,'2025-12-1 20:20:00',30,3,2
195,523,'2025-12-2 20:15:00',8,13,2
196,524,'2025-12-5 20:15:00',21,23,2
197,524,'2025-12-8 13:00:00',25,22,2
198,524,'2025-12-8 13:00:00',27,20,2
199,524,'2025-12-8 13:00:00',8,6,2
200,524,'2025-12-8 13:00:00',11,10,2
201,524,'2025-12-8 13:00:00',36,28,2
202,524,'2025-12-8 13:00:00',26,17,2
203,524,'2025-12-8 13:00:00',2,4,2
204,524,'2025-12-8 16:05:00',32,31,2
205,524,'2025-12-8 16:25:00',3,35,2
206,524,'2025-12-8 16:25:00',24,30,2
207,524,'2025-12-8 20:20:00',34,14,2
208,524,'2025-12-9 20:15:00',7,18,2
209,525,'2025-12-12 20:15:00',35,30,2
210,525,'2025-12-15 13:00:00',5,17,2
211,525,'2025-12-15 13:00:00',7,10,2
212,525,'2025-12-15 13:00:00',18,27,2
213,525,'2025-12-15 13:00:00',14,8,2
214,525,'2025-12-15 13:00:00',4,12,2
215,525,'2025-12-15 13:00:00',2,11,2
216,525,'2025-12-15 13:00:00',39,26,2
217,525,'2025-12-15 16:25:00',3,23,2
218,525,'2025-12-15 16:25:00',9,13,2
219,525,'2025-12-15 16:25:00',1,31,2
220,525,'2025-12-15 16:25:00',6,20,2
221,525,'2025-12-15 16:25:00',28,34,2
222,525,'2025-12-15 20:20:00',21,32,2
223,525,'2025-12-16 20:00:00',24,22,2
224,525,'2025-12-16 20:30:00',25,36,2
225,526,'2025-12-19 20:15:00',8,7,2
226,526,'2025-12-21 13:00:00',12,14,2
227,526,'2025-12-21 16:30:00',6,5,2
228,526,'2025-12-22 13:00:00',31,27,2
229,526,'2025-12-22 13:00:00',23,24,2
230,526,'2025-12-22 13:00:00',35,2,2
231,526,'2025-12-22 13:00:00',1,3,2
232,526,'2025-12-22 13:00:00',17,25,2
233,526,'2025-12-22 13:00:00',20,39,2
234,526,'2025-12-22 13:00:00',10,9,2
235,526,'2025-12-22 16:05:00',13,34,2
236,526,'2025-12-22 16:05:00',22,32,2
237,526,'2025-12-22 16:25:00',11,36,2
238,526,'2025-12-22 16:25:00',30,4,2
239,526,'2025-12-22 20:20:00',28,18,2
240,526,'2025-12-23 20:15:00',26,21,2
241,527,'2025-12-25 13:00:00',14,6,2
242,527,'2025-12-25 16:30:00',5,12,2
243,527,'2025-12-26 20:15:00',32,24,2
244,527,'2025-12-28 13:00:00',13,7,2
245,527,'2025-12-28 16:30:00',31,35,2
246,527,'2025-12-28 20:00:00',34,1,2
247,527,'2025-12-29 13:00:00',25,39,2
248,527,'2025-12-29 13:00:00',27,28,2
249,527,'2025-12-29 13:00:00',21,22,2
250,527,'2025-12-29 13:00:00',9,17,2
251,527,'2025-12-29 13:00:00',36,26,2
252,527,'2025-12-29 13:00:00',2,3,2
253,527,'2025-12-29 13:00:00',10,11,2
254,527,'2025-12-29 16:25:00',18,20,2
255,527,'2025-12-29 20:20:00',4,8,2
256,527,'2025-12-30 20:15:00',23,30,2
257,528,'2025-1-5 13:00:00',3,1,2
258,528,'2025-1-5 13:00:00',27,25,2
259,528,'2025-1-5 13:00:00',24,21,2
260,528,'2025-1-5 13:00:00',7,6,2
261,528,'2025-1-5 13:00:00',8,5,2
262,528,'2025-1-5 13:00:00',12,10,2
263,528,'2025-1-5 13:00:00',11,9,2
264,528,'2025-1-5 13:00:00',14,13,2
265,528,'2025-1-5 13:00:00',34,36,2
266,528,'2025-1-5 13:00:00',4,2,2
267,528,'2025-1-5 13:00:00',22,23,2
268,528,'2025-1-5 13:00:00',26,28,2
269,528,'2025-1-5 13:00:00',17,20,2
270,528,'2025-1-5 13:00:00',30,31,2
271,528,'2025-1-5 13:00:00',32,35,2
272,528,'2025-1-5 13:00:00',39,18,2
